feature_set,method,fold,accuracy,balanced_accuracy,macro_f1,weighted_f1,macro_precision,weighted_precision,macro_recall,weighted_recall,ordinal_mae,quadratic_weighted_kappa,adjacent_accuracy,severe_error_rate,nll_log_loss,multiclass_brier,ece_confidence
no_salary_hike_no_attrition_no_department_no_job_role,sigmoid,6,0.8,0.573502722323049,0.5357943309162821,0.7507185234014503,0.5027829313543599,0.7071892393320965,0.573502722323049,0.8,0.20833333333333334,0.49216300940438873,0.9916666666666667,0.008333333333333333,0.5011633914592449,0.3032436153915587,0.041443500906419455
no_salary_hike_no_attrition_no_department_no_job_role,isotonic,6,0.8166666666666667,0.6148561057816956,0.5934946656258132,0.7779937548790008,0.8464673913043478,0.8385303442028985,0.6148561057816956,0.8166666666666667,0.19166666666666668,0.5468277945619335,0.9916666666666667,0.008333333333333333,0.49187152056591865,0.29814936208562615,0.04976045284069475
no_salary_hike_no_attrition_no_department_no_job_role,raw,7,0.8,0.5475095785440612,0.536394176931691,0.755253826054498,0.52988632196553,0.7182434910157682,0.5475095785440612,0.8,0.2,0.5201599466844384,1.0,0.0,0.5625320488872471,0.33524623134281106,0.08329054030366981
no_salary_hike_no_attrition_no_department_no_job_role,sigmoid,7,0.8083333333333333,0.5513409961685823,0.5383829945233454,0.7595795043163462,0.5305010893246188,0.7195806100217865,0.5513409961685823,0.8083333333333333,0.19166666666666668,0.5296523517382414,1.0,0.0,0.5117495891434872,0.310496763144945,0.047032183928969074
no_salary_hike_no_attrition_no_department_no_job_role,isotonic,7,0.8,0.5603448275862069,0.5342250196695515,0.7534028324154209,0.5108225108225108,0.7122294372294373,0.5603448275862069,0.8,0.2,0.5344325897187197,1.0,0.0,0.8896668421412595,0.313735261007204,0.04870941919424494
no_salary_hike_no_attrition_no_department_no_job_role,raw,8,0.7583333333333333,0.5026819923371647,0.4936804376532729,0.7211233729485004,0.48821548821548816,0.6896464646464646,0.5026819923371647,0.7583333333333333,0.25,0.3875598086124402,0.9916666666666667,0.008333333333333333,0.5675434738950387,0.3453140893474197,0.0958809340257901
no_salary_hike_no_attrition_no_department_no_job_role,sigmoid,8,0.7916666666666666,0.5308429118773946,0.5130023640661938,0.7435579196217493,0.49869723814486716,0.702648949105437,0.5308429118773946,0.7916666666666666,0.21666666666666667,0.4375627720120522,0.9916666666666667,0.008333333333333333,0.5160218126230579,0.3106243439504845,0.0565286848415576
no_salary_hike_no_attrition_no_department_no_job_role,isotonic,8,0.8,0.5988505747126437,0.557169459962756,0.7651769087523277,0.5226086956521739,0.7346739130434782,0.5988505747126437,0.8,0.20833333333333334,0.537934968625214,0.9916666666666667,0.008333333333333333,0.6893476516295262,0.32998382651920133,0.08662639913008516
no_salary_hike_no_attrition_no_department_no_job_role,raw,9,0.775,0.5616858237547894,0.5260338188514985,0.738062949941403,0.49527186761229314,0.7049940898345154,0.5616858237547894,0.775,0.225,0.5215593620791494,1.0,0.0,0.6938438407080374,0.37622627626055355,0.12028223883807719
no_salary_hike_no_attrition_no_department_no_job_role,sigmoid,9,0.7916666666666666,0.5565134099616859,0.5263835263835265,0.7460746460746461,0.4993815708101422,0.7054730983302412,0.5565134099616859,0.7916666666666666,0.20833333333333334,0.5232040686586141,1.0,0.0,0.5860089243391818,0.34444154194181814,0.11799021937681536
no_salary_hike_no_attrition_no_department_no_job_role,isotonic,9,0.7833333333333333,0.5655172413793104,0.5227513227513227,0.73994708994709,0.4870175438596491,0.7019298245614035,0.5655172413793104,0.7833333333333333,0.21666666666666667,0.5279878971255674,1.0,0.0,0.6144788485883045,0.3660941756268827,0.12897539933455582
no_salary_hike_no_attrition_no_department_no_job_role,raw,10,0.8333333333333334,0.6013409961685824,0.5808243727598567,0.7887096774193548,0.5627946127946127,0.7494949494949494,0.6013409961685824,0.8333333333333334,0.16666666666666666,0.6137753459929192,1.0,0.0,0.5471266029286944,0.29332991085973337,0.094009470990401
no_salary_hike_no_attrition_no_department_no_job_role,sigmoid,10,0.8333333333333334,0.5885057471264368,0.5713766139298054,0.7846244771776686,0.557929477158242,0.7433211742226854,0.5885057471264368,0.8333333333333334,0.16666666666666666,0.5982591228657516,1.0,0.0,0.4883628039510723,0.2859878963238941,0.07271876679311015
no_salary_hike_no_attrition_no_department_no_job_role,isotonic,10,0.8416666666666667,0.6051724137931035,0.5827985739750446,0.7930035650623886,0.5633333333333334,0.7506666666666667,0.6051724137931035,0.8416666666666667,0.15833333333333333,0.625,1.0,0.0,0.47232113801846676,0.2813585486740808,0.08666825822232566
