feature_set,model,attribute,group_value,n_samples,support_warning,class_label,accuracy,macro_f1,actual_class_support,predicted_class_support,positive_prediction_rate,true_positive_rate,false_positive_rate,precision,mean_predicted_probability
no_salary_hike_no_attrition_no_department,xgboost,Gender,Female,475,False,2,0.8631578947368421,0.6073679507078689,75,77,0.16210526315789472,0.92,0.02,0.8961038961038961,0.155254440741831
no_salary_hike_no_attrition_no_department,xgboost,Gender,Female,475,False,3,0.8631578947368421,0.6073679507078689,349,397,0.8357894736842105,0.9770773638968482,0.4444444444444444,0.8589420654911839,0.7598435581377463
no_salary_hike_no_attrition_no_department,xgboost,Gender,Female,475,False,4,0.8631578947368421,0.6073679507078689,51,1,0.002105263157894737,0.0,0.0023584905660377358,0.0,0.08490200180609367
no_salary_hike_no_attrition_no_department,xgboost,Gender,Male,725,False,2,0.84,0.5934309776086911,119,130,0.1793103448275862,0.8991596638655462,0.037953795379537955,0.823076923076923,0.16759591559730952
no_salary_hike_no_attrition_no_department,xgboost,Gender,Male,725,False,3,0.84,0.5934309776086911,525,592,0.8165517241379311,0.9542857142857143,0.455,0.8462837837837838,0.7430706901925391
no_salary_hike_no_attrition_no_department,xgboost,Gender,Male,725,False,4,0.84,0.5934309776086911,81,3,0.004137931034482759,0.012345679012345678,0.003105590062111801,0.3333333333333333,0.08933339323655798
no_salary_hike_no_attrition_no_department,xgboost,MaritalStatus,Divorced,268,False,2,0.8619402985074627,0.5972182858342517,37,36,0.13432835820895522,0.8648648648648649,0.017316017316017316,0.8888888888888888,0.13161167702095716
no_salary_hike_no_attrition_no_department,xgboost,MaritalStatus,Divorced,268,False,3,0.8619402985074627,0.5972182858342517,205,230,0.8582089552238806,0.9707317073170731,0.49206349206349204,0.8652173913043478,0.7731951071686153
no_salary_hike_no_attrition_no_department,xgboost,MaritalStatus,Divorced,268,False,4,0.8619402985074627,0.5972182858342517,26,2,0.007462686567164179,0.0,0.008264462809917356,0.0,0.09519321575183977
no_salary_hike_no_attrition_no_department,xgboost,MaritalStatus,Married,548,False,2,0.8503649635036497,0.6013487679794581,100,110,0.20072992700729927,0.91,0.04241071428571429,0.8272727272727273,0.18642962675764538
no_salary_hike_no_attrition_no_department,xgboost,MaritalStatus,Married,548,False,3,0.8503649635036497,0.6013487679794581,393,436,0.7956204379562044,0.9516539440203562,0.4,0.8577981651376146,0.7302145608768792
no_salary_hike_no_attrition_no_department,xgboost,MaritalStatus,Married,548,False,4,0.8503649635036497,0.6013487679794581,55,2,0.0036496350364963502,0.01818181818181818,0.002028397565922921,0.5,0.08335581137165665
no_salary_hike_no_attrition_no_department,xgboost,MaritalStatus,Single,384,False,2,0.8385416666666666,0.5988228969185931,57,61,0.15885416666666666,0.9298245614035088,0.024464831804281346,0.8688524590163934,0.1505664928531587
no_salary_hike_no_attrition_no_department,xgboost,MaritalStatus,Single,384,False,3,0.8385416666666666,0.5988228969185931,276,323,0.8411458333333334,0.9746376811594203,0.5,0.8328173374613003,0.761140813602348
no_salary_hike_no_attrition_no_department,xgboost,MaritalStatus,Single,384,False,4,0.8385416666666666,0.5988228969185931,51,0,0.0,0.0,0.0,,0.08829269401364097
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,Data Science,20,True,2,0.8,0.46078431372549017,1,3,0.15,1.0,0.10526315789473684,0.3333333333333333,0.12670608559055835
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,Data Science,20,True,3,0.8,0.46078431372549017,17,17,0.85,0.8823529411764706,0.6666666666666666,0.8823529411764706,0.8182081520557404
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,Data Science,20,True,4,0.8,0.46078431372549017,2,0,0.0,0.0,0.0,,0.05508575842250139
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,Development,361,False,2,0.8199445983379502,0.37697428020008666,13,13,0.036011080332409975,0.23076923076923078,0.028735632183908046,0.23076923076923078,0.05652241769789007
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,Development,361,False,3,0.8199445983379502,0.37697428020008666,304,347,0.961218836565097,0.9638157894736842,0.9473684210526315,0.8443804034582133,0.8490148258712813
no_salary_hike_no_attrition_no_department,xgboost,EmpDepartment,Development,361,False,4,0.8199445983379502,0.37697428020008666,44,1,0.002770083102493075,0.0,0.0031545741324921135,0.0,0.09446275584016593
