feature_set,model,attribute,metric,n_groups_included,min_group_value,min_group_support,min,max_group_value,max_group_support,max,max_gap,min_group_support_threshold,class_label
no_salary_hike_no_attrition_no_department,xgboost,Gender,true_positive_rate,2,Male,725,0.9542857142857143,Female,475,0.9770773638968482,0.02279164961113389,30,3.0
no_salary_hike_no_attrition_no_department,xgboost,Gender,true_positive_rate,2,Male,725,0.8991596638655462,Female,475,0.92,0.020840336134453796,30,2.0
no_salary_hike_no_attrition_no_department,xgboost,Gender,true_positive_rate,2,Female,475,0.0,Male,725,0.012345679012345678,0.012345679012345678,30,4.0
no_salary_hike_no_attrition_no_department,xgboost,MaritalStatus,accuracy,3,Single,384,0.8385416666666666,Divorced,268,0.8619402985074627,0.023398631840796047,30,
no_salary_hike_no_attrition_no_department,xgboost,MaritalStatus,false_positive_rate,3,Married,548,0.4,Single,384,0.5,0.09999999999999998,30,3.0
no_salary_hike_no_attrition_no_department,xgboost,MaritalStatus,false_positive_rate,3,Divorced,268,0.017316017316017316,Married,548,0.04241071428571429,0.02509469696969697,30,2.0
no_salary_hike_no_attrition_no_department,xgboost,MaritalStatus,false_positive_rate,3,Single,384,0.0,Divorced,268,0.008264462809917356,0.008264462809917356,30,4.0
no_salary_hike_no_attrition_no_department,xgboost,MaritalStatus,macro_f1,3,Divorced,268,0.5972182858342517,Married,548,0.6013487679794581,0.004130482145206393,30,
no_salary_hike_no_attrition_no_department,xgboost,MaritalStatus,mean_predicted_probability,3,Divorced,268,0.13161167702095716,Married,548,0.18642962675764538,0.054817949736688215,30,2.0
no_salary_hike_no_attrition_no_department,xgboost,MaritalStatus,mean_predicted_probability,3,Married,548,0.7302145608768792,Divorced,268,0.7731951071686153,0.04298054629173609,30,3.0
no_salary_hike_no_attrition_no_department,xgboost,MaritalStatus,mean_predicted_probability,3,Married,548,0.08335581137165665,Divorced,268,0.09519321575183977,0.011837404380183117,30,4.0
no_salary_hike_no_attrition_no_department,xgboost,MaritalStatus,positive_prediction_rate,3,Divorced,268,0.13432835820895522,Married,548,0.20072992700729927,0.06640156879834405,30,2.0
no_salary_hike_no_attrition_no_department,xgboost,MaritalStatus,positive_prediction_rate,3,Married,548,0.7956204379562044,Divorced,268,0.8582089552238806,0.06258851726767622,30,3.0
no_salary_hike_no_attrition_no_department,xgboost,MaritalStatus,positive_prediction_rate,3,Single,384,0.0,Divorced,268,0.007462686567164179,0.007462686567164179,30,4.0
no_salary_hike_no_attrition_no_department,xgboost,MaritalStatus,precision,2,Divorced,268,0.0,Married,548,0.5,0.5,30,4.0
